"","POSITION","COMPANY","TICKER","WEIGHT"
"387",387,"Evergy Inc.","EVRG",0.00043785
"388",388,"Garmin Ltd.","GRMN",0.00043415
"389",389,"LKQ Corporation","LKQ",0.00043003
"390",390,"Teradyne Inc.","TER",0.00042875
"391",391,"Alliant Energy Corp","LNT",0.00041817
"392",392,"FLEETCOR Technologies Inc.","FLT",0.00041802
"393",393,"Akamai Technologies Inc.","AKAM",0.0004179
"394",394,"Essex Property Trust Inc.","ESS",0.00041651
"395",395,"Tyler Technologies Inc.","TYL",0.00041549
"396",396,"Healthpeak Properties Inc.","PEAK",0.00041145
"397",397,"NetApp Inc.","NTAP",0.00041115
"398",398,"EQT Corporation","EQT",0.00041086
"399",399,"Hormel Foods Corporation","HRL",0.00040772
"400",400,"Cboe Global Markets Inc","CBOE",0.00040529
"401",401,"Everest Re Group Ltd.","RE",0.0004019
"402",402,"Jack Henry & Associates Inc.","JKHY",0.00040175
"403",403,"Viatris Inc.","VTRS",0.0004007
"404",404,"Brown & Brown Inc.","BRO",0.00040056
"405",405,"Kimco Realty Corporation","KIM",0.00039955
"406",406,"PTC Inc.","PTC",0.00039943
"407",407,"Zebra Technologies Corporation Class A","ZBRA",0.00039857
"408",408,"Expedia Group Inc.","EXPE",0.00039841
"409",409,"Domino's Pizza Inc.","DPZ",0.00039502
"410",410,"Interpublic Group of Companies Inc.","IPG",0.00039442
"411",411,"United Airlines Holdings Inc.","UAL",0.00039386
"412",412,"Lamb Weston Holdings Inc.","LW",0.00039258
"413",413,"Nordson Corporation","NDSN",0.00039108
"414",414,"International Paper Company","IP",0.00039057
"415",415,"Bio-Techne Corporation","TECH",0.00038903
"416",416,"Gen Digital Inc.","GEN",0.00038565
"417",417,"SVB Financial Group","SIVB",0.00038435
"418",418,"Trimble Inc.","TRMB",0.00038133
"419",419,"Pool Corporation","POOL",0.0003754
"420",420,"Packaging Corporation of America","PKG",0.00037487
"421",421,"Snap-on Incorporated","SNA",0.00037407
"422",422,"Host Hotels & Resorts Inc.","HST",0.00037084
"423",423,"Brown-Forman Corporation Class B","BF-B",0.00036694
"424",424,"UDR Inc.","UDR",0.0003635
"425",425,"Camden Property Trust","CPT",0.00036313
"426",426,"C.H. Robinson Worldwide Inc.","CHRW",0.00035635
"427",427,"Campbell Soup Company","CPB",0.00035417
"428",428,"Match Group Inc.","MTCH",0.00035017
"429",429,"Teleflex Incorporated","TFX",0.00035016
"430",430,"MGM Resorts International","MGM",0.00034923
"431",431,"Royal Caribbean Group","RCL",0.00034714
"432",432,"Henry Schein Inc.","HSIC",0.00034706
"433",433,"Stanley Black & Decker Inc.","SWK",0.00034315
"434",434,"NiSource Inc","NI",0.00034104
"435",435,"Loews Corporation","L",0.00033894
"436",436,"Globe Life Inc.","GL",0.00033316
"437",437,"Charles River Laboratories International Inc.","CRL",0.00033027
"438",438,"Masco Corporation","MAS",0.00032684
"439",439,"PulteGroup Inc.","PHM",0.00032252
"440",440,"Juniper Networks Inc.","JNPR",0.00031877
"441",441,"Celanese Corporation","CE",0.00031474
"442",442,"MarketAxess Holdings Inc.","MKTX",0.00031238
"443",443,"Western Digital Corporation","WDC",0.00031083
"444",444,"Seagate Technology Holdings PLC","STX",0.00030984
"445",445,"Eastman Chemical Company","EMN",0.00030949
"446",446,"Live Nation Entertainment Inc.","LYV",0.00030388
"447",447,"BorgWarner Inc.","BWA",0.00030036
"448",448,"Ceridian HCM Holding Inc.","CDAY",0.00030007
"449",449,"Caesars Entertainment Inc","CZR",0.00029821
"450",450,"Molson Coors Beverage Company Class B","TAP",0.00029699
"451",451,"Boston Properties Inc.","BXP",0.00029347
"452",452,"Qorvo Inc.","QRVO",0.00029199
"453",453,"Regency Centers Corporation","REG",0.00029088
"454",454,"CarMax Inc.","KMX",0.00029015
"455",455,"Allegion Public Limited Company","ALLE",0.00028903
"456",456,"Bath & Body Works Inc.","BBWI",0.00028622
"457",457,"Fox Corporation Class A","FOXA",0.00028594
"458",458,"Huntington Ingalls Industries Inc.","HII",0.00028342
"459",459,"Universal Health Services Inc. Class B","UHS",0.00028233
"460",460,"Tapestry Inc.","TPR",0.00028181
"461",461,"WestRock Company","WRK",0.00027519
"462",462,"Wynn Resorts Limited","WYNN",0.00026979
"463",463,"Pinnacle West Capital Corporation","PNW",0.00026963
"464",464,"Rollins Inc.","ROL",0.00026851
"465",465,"Bio-Rad Laboratories Inc. Class A","BIO",0.00026599
"466",466,"Paramount Global Class B","PARA",0.00026545
"467",467,"F5 Inc.","FFIV",0.00026491
"468",468,"Advance Auto Parts Inc.","AAP",0.00026293
"469",469,"Comerica Incorporated","CMA",0.00026067
"470",470,"Invesco Ltd.","IVZ",0.00025513
"471",471,"V.F. Corporation","VFC",0.00025149
